CHAPEDES  4755  4885     1    2016_05_11
*---  ad hoc run min and max
*---  Made with pedestal run 4755 ( run 4755, 2016-05-11 )
*---  
  0   0     99         0         0
  0   1     99         0         0
  0   2     99         0         0
  0   3     99         0         0
  0   4     99         0         0
  0   5     99         0         0
  0   6     99         0         0
  0   7     99         0         0
  0   8     99         0         0
  0   9     99         0         0
  0  10     99         0         0
  0  11     99         0         0
  0  12     99         0         0
  0  13     99         0         0
  0  14     99         0         0
  0  15     99         0         0
  0  16     99         0         0
  0  17     99         0         0
  0  18     99         0         0
  0  19     99         0         0
  0  20     99         0         0
  0  21     99         0         0
  0  22     99         0         0
  0  23     99         0         0
  0  24     99         0         0
  0  25     99         0         0
  0  26     99         0         0
  0  27     99         0         0
  0  28     99         0         0
  0  29     99         0         0
  0  30     99         0         0
  0  31     99         0         0
  0  32     99         0         0
  0  33     99         0         0
  0  34     99         0         0
  0  35     99         0         0
  0  36     99         0         0
  0  37     99         0         0
  0  38     99         0         0
  0  39     99         0         0
  0  40     99         0         0
  0  41     99         0         0
  0  42     99         0         0
  0  43     99         0         0
  0  44     99         0         0
  0  45     99         0         0
  0  46     99         0         0
  0  47     99         0         0
  0  48     99         0         0
  0  49     99         0         0
  0  50     99         0         0
  0  51     99         0         0
  0  52     99         0         0
  0  53     99         0         0
  0  54     99         0         0
  0  55     99         0         0
  0  56     99         0         0
  0  57     99         0         0
  0  58     99         0         0
  0  59     99         0         0
  0  60     99         0         0
  0  61     99         0         0
  0  62     99         0         0
  0  63     99         0         0
  0  64     99         0         0
  0  65     99         0         0
  0  66     99         0         0
  0  67     99         0         0
  0  68     99         0         0
  0  69     99         0         0
  0  70     99         0         0
  0  71     99         0         0
  0  72     99         0         0
  0  73     99         0         0
  0  74     99         0         0
  0  75     99         0         0
  0  76     99         0         0
  0  77     99         0         0
  0  78     99         0         0
  0  79     99         0         0
  0  80     99         0         0
  0  81     99         0         0
  0  82     99         0         0
  0  83     99         0         0
  0  84     99         0         0
  0  85     99         0         0
  0  86     99         0         0
  0  87     99         0         0
  0  88     99         0         0
  0  89     99         0         0
  0  90     99         0         0
  0  91     99         0         0
  0  92     99         0         0
  0  93     99         0         0
  0  94     99         0         0
  0  95     99         0         0
  0  96     99         0         0
  0  97     99         0         0
  0  98     99         0         0
  0  99     99         0         0
  0 100     99         0         0
  0 101     99         0         0
  0 102     99         0         0
  0 103     99         0         0
  0 104     99         0         0
  0 105     99         0         0
  0 106     99         0         0
  0 107     99         0         0
  0 108     99         0         0
  0 109     99         0         0
  0 110     99         0         0
  0 111     99         0         0
  0 112     99         0         0
  0 113     99         0         0
  0 114     99         0         0
  0 115     99         0         0
  0 116     99         0         0
  0 117     99         0         0
  0 118     99         0         0
  0 119     99         0         0
  0 120     99         0         0
  0 121     99         0         0
  0 122     99         0         0
  0 123     99         0         0
  0 124     99         0         0
  0 125     99         0         0
  0 126     99         0         0
  0 127     99         0         0
  1   0     99         0         0
  1   1     99         0         0
  1   2     99         0         0
  1   3     99         0         0
  1   4     99         0         0
  1   5     99         0         0
  1   6     99         0         0
  1   7     99         0         0
  1   8     99         0         0
  1   9     99         0         0
  1  10     99         0         0
  1  11     99         0         0
  1  12     99         0         0
  1  13     99         0         0
  1  14     99         0         0
  1  15     99         0         0
  1  16     99         0         0
  1  17     99         0         0
  1  18     99         0         0
  1  19     99         0         0
  1  20     99         0         0
  1  21     99         0         0
  1  22     99         0         0
  1  23     99         0         0
  1  24     99         0         0
  1  25     99         0         0
  1  26     99         0         0
  1  27     99         0         0
  1  28     99         0         0
  1  29     99         0         0
  1  30     99         0         0
  1  31     99         0         0
  1  32     99         0         0
  1  33     99         0         0
  1  34     99         0         0
  1  35     99         0         0
  1  36     99         0         0
  1  37      0   398.662   2.80313
  1  38      0   399.298   2.73776
  1  39      0   398.407   2.63516
  1  40      0   399.616   2.88413
  1  41      0    398.79    3.2803
  1  42      0   398.524   2.95732
  1  43      0   398.111     3.355
  1  44      0   397.417   3.06316
  1  45      0   399.394   3.08625
  1  46      0   399.666   3.44742
  1  47      0   399.541   3.36927
  1  48      0   397.997   2.60709
  1  49      0   398.063   2.70259
  1  50      0   400.285   2.78382
  1  51      0   397.745   2.78583
  1  52      0   400.289   2.74589
  1  53      0   397.772   2.83619
  1  54      0   398.837   2.62003
  1  55      0   399.063   2.67313
  1  56      0   397.955   2.61143
  1  57      0   398.857   2.70597
  1  58      0   398.773   2.60016
  1  59      0    399.91   2.66087
  1  60      0   399.614   2.69005
  1  61      0   398.977   2.49612
  1  62      0   399.172   2.69303
  1  63      0   401.698   2.56766
  1  64      0   398.023   3.23389
  1  65      0    398.72   2.83116
  1  66      0   397.841   2.84845
  1  67      0   398.635   3.27746
  1  68      0   400.869   2.96643
  1  69      0    400.62   3.32088
  1  70      0   399.824   3.11583
  1  71      0   400.426   2.74476
  1  72      0   398.903   3.23675
  1  73      0   397.589   3.44314
  1  74      0   396.554   3.62614
  1  75      0   398.494   3.12581
  1  76      0   398.632   3.21613
  1  77      0   398.562   2.80571
  1  78      0   398.306   4.64981
  1  79      0   399.444   2.64204
  1  80      0   398.832   2.71756
  1  81      9         0         0
  1  82      0   397.356   2.93406
  1  83      0   399.532   2.68008
  1  84      0    397.46    2.6261
  1  85      0    398.88   2.69585
  1  86      0     397.9   2.62038
  1  87      0   397.413   2.64635
  1  88      0   398.596   2.58076
  1  89      0   398.452   2.62265
  1  90      0   398.152   2.75964
  1  91     99         0         0
  1  92     99         0         0
  1  93     99         0         0
  1  94     99         0         0
  1  95     99         0         0
  1  96     99         0         0
  1  97     99         0         0
  1  98     99         0         0
  1  99     99         0         0
  1 100     99         0         0
  1 101     99         0         0
  1 102     99         0         0
  1 103     99         0         0
  1 104     99         0         0
  1 105     99         0         0
  1 106     99         0         0
  1 107     99         0         0
  1 108     99         0         0
  1 109     99         0         0
  1 110     99         0         0
  1 111     99         0         0
  1 112     99         0         0
  1 113     99         0         0
  1 114     99         0         0
  1 115     99         0         0
  1 116     99         0         0
  1 117     99         0         0
  1 118     99         0         0
  1 119     99         0         0
  1 120     99         0         0
  1 121     99         0         0
  1 122     99         0         0
  1 123     99         0         0
  1 124     99         0         0
  1 125     99         0         0
  1 126     99         0         0
  1 127     99         0         0
  2   0     99         0         0
  2   1     99         0         0
  2   2     99         0         0
  2   3     99         0         0
  2   4     99         0         0
  2   5     99         0         0
  2   6     99         0         0
  2   7     99         0         0
  2   8     99         0         0
  2   9     99         0         0
  2  10     99         0         0
  2  11     99         0         0
  2  12     99         0         0
  2  13     99         0         0
  2  14     99         0         0
  2  15     99         0         0
  2  16     99         0         0
  2  17     99         0         0
  2  18     99         0         0
  2  19     99         0         0
  2  20     99         0         0
  2  21     99         0         0
  2  22     99         0         0
  2  23     99         0         0
  2  24     99         0         0
  2  25     99         0         0
  2  26     99         0         0
  2  27     99         0         0
  2  28     99         0         0
  2  29     99         0         0
  2  30     99         0         0
  2  31     99         0         0
  2  32     99         0         0
  2  33     99         0         0
  2  34     99         0         0
  2  35     99         0         0
  2  36      0   399.423   2.59867
  2  37      0    399.08   2.76952
  2  38      0   398.878   2.66883
  2  39      0   399.632   2.71308
  2  40      0    399.49   2.81067
  2  41      0   398.117   3.24546
  2  42      0     399.8   3.06269
  2  43      0   399.523   2.82222
  2  44      0   396.985   3.18313
  2  45      0   398.622   3.29013
  2  46      0   398.446   3.44852
  2  47      0   398.968   3.26876
  2  48      0   399.445   2.56013
  2  49      0   398.422   2.60735
  2  50      0   398.045   2.43498
  2  51      0   397.568   2.56352
  2  52      0   397.047   2.59112
  2  53      0   396.286   2.57209
  2  54      0   398.381   2.70915
  2  55      0   398.238   2.63694
  2  56      0   400.866   3.40242
  2  57      0   399.723   3.27152
  2  58      0   397.838   3.31408
  2  59      0   398.892    3.3536
  2  60      0   398.385   3.33584
  2  61      0   398.495   3.31428
  2  62      0   400.494    3.1825
  2  63      0   400.926   3.14489
  2  64      0   401.152   2.53085
  2  65      0   398.407   2.53703
  2  66      0   398.067   2.60519
  2  67      0   398.186    2.8302
  2  68      0    398.45   2.50378
  2  69      0   397.496   2.54344
  2  70      0   399.031   2.69013
  2  71      0    403.79   2.55163
  2  72      0   401.587    3.0288
  2  73      0   398.713   3.12827
  2  74      0   399.834   2.90953
  2  75      0   400.473   2.81503
  2  76      0   395.781   2.91713
  2  77      0   397.254   3.56563
  2  78      0    399.42   3.22225
  2  79      0   396.675   2.99813
  2  80      0   398.363   3.22509
  2  81      0   396.221    2.8659
  2  82      0    395.75   3.53814
  2  83      0   396.853   3.09484
  2  84      0   398.531   3.17724
  2  85      0   398.154   2.79891
  2  86      0   395.547   3.49758
  2  87      0   396.142   2.80612
  2  88      0   398.866   2.64373
  2  89      0   397.526   2.77853
  2  90      0   398.086   2.66488
  2  91      0     397.4   2.78982
  2  92     99         0         0
  2  93     99         0         0
  2  94     99         0         0
  2  95     99         0         0
  2  96     99         0         0
  2  97     99         0         0
  2  98     99         0         0
  2  99     99         0         0
  2 100     99         0         0
  2 101     99         0         0
  2 102     99         0         0
  2 103     99         0         0
  2 104     99         0         0
  2 105     99         0         0
  2 106     99         0         0
  2 107     99         0         0
  2 108     99         0         0
  2 109     99         0         0
  2 110     99         0         0
  2 111     99         0         0
  2 112     99         0         0
  2 113     99         0         0
  2 114     99         0         0
  2 115     99         0         0
  2 116     99         0         0
  2 117     99         0         0
  2 118     99         0         0
  2 119     99         0         0
  2 120     99         0         0
  2 121     99         0         0
  2 122     99         0         0
  2 123     99         0         0
  2 124     99         0         0
  2 125     99         0         0
  2 126     99         0         0
  2 127     99         0         0
  3   0     99         0         0
  3   1     99         0         0
  3   2     99         0         0
  3   3     99         0         0
  3   4     99         0         0
  3   5     99         0         0
  3   6     99         0         0
  3   7     99         0         0
  3   8     99         0         0
  3   9     99         0         0
  3  10     99         0         0
  3  11     99         0         0
  3  12     99         0         0
  3  13     99         0         0
  3  14     99         0         0
  3  15     99         0         0
  3  16     99         0         0
  3  17     99         0         0
  3  18     99         0         0
  3  19     99         0         0
  3  20     99         0         0
  3  21     99         0         0
  3  22     99         0         0
  3  23     99         0         0
  3  24     99         0         0
  3  25     99         0         0
  3  26     99         0         0
  3  27     99         0         0
  3  28     99         0         0
  3  29     99         0         0
  3  30     99         0         0
  3  31     99         0         0
  3  32     99         0         0
  3  33     99         0         0
  3  34     99         0         0
  3  35      0   399.499   2.80898
  3  36      0   398.958   2.69941
  3  37      0   398.814   2.57712
  3  38      0   398.195   2.41724
  3  39      0   397.592   2.72616
  3  40      0   400.549   3.53839
  3  41      0   399.853   3.40221
  3  42      0   401.371   2.84391
  3  43      0   399.606   3.41914
  3  44      0    398.76   3.01199
  3  45      0   397.223   3.10344
  3  46      0   398.413    3.1466
  3  47      0   399.859   3.27422
  3  48      0   399.728   3.41977
  3  49      0   398.276   2.95642
  3  50      0   397.888   3.22402
  3  51      0   397.396   3.63293
  3  52      0    398.53   2.49928
  3  53      0   397.134   2.49435
  3  54      0   397.816   2.74141
  3  55      0   398.752   2.99287
  3  56      0   397.818   3.56749
  3  57      0   398.415   3.09221
  3  58      0    398.45   3.24003
  3  59      0   397.668   3.38547
  3  60      0   398.031     2.865
  3  61      0   397.602   3.12147
  3  62      0   398.047   2.73179
  3  63      0   397.947    2.8074
  3  64      0   398.747   3.07786
  3  65      0   397.385   3.53232
  3  66      0    398.09   2.94112
  3  67      0   395.663   3.35515
  3  68      0   399.706   3.21537
  3  69      0   396.891   2.98438
  3  70      0   399.062   3.12669
  3  71      0   398.643   3.08192
  3  72      0   395.399   3.24272
  3  73      0    396.61   3.98379
  3  74      0   396.505   2.88574
  3  75      0   392.213   2.95725
  3  76      0   396.573   3.07404
  3  77      0   395.892   3.23546
  3  78      0   396.431   3.01711
  3  79      0   396.384   4.08435
  3  80      0   398.412   2.65639
  3  81      0   398.331   2.94906
  3  82      0   400.193   3.22968
  3  83      0   394.914   3.24692
  3  84      0   398.644   3.07429
